hip,luminosity,temperature
74058,83.24004287,2537.809823
76148,0.728167282,2537.809823
77492,1.59016262,2537.809823
81410,1.389173836,2537.809823
84152,2.560074384,2537.809823
85031,18.44099553,2537.809823
87369,0.352984446,2537.809823
87534,32.93292572,2537.809823
88831,3.691716085,2537.809823
89455,1.362128159,2537.809823
100500,2.348727284,2537.809823
106308,0.375725273,2537.809823
107806,0.829328137,2537.809823
107847,0.715435146,2537.809823
116220,1.451959951,2537.809823
116879,0.613073112,2537.809823
467,2.464285695,2542.074999
1028,2.520521018,2542.074999
1654,0.735760041,2542.074999
5304,1.723089688,2542.074999
6744,0.552391813,2542.074999
8418,3.285699763,2542.074999
10996,2.248539139,2542.074999
13966,2.765161941,2542.074999
19301,0.500406168,2542.074999
20986,9.550742741,2542.074999
31660,0.922406519,2542.074999
35163,0.277318603,2542.074999
41166,24.97708884,2542.074999
41751,10.20360119,2542.074999
45734,1.411414791,2542.074999
46203,0.629169454,2542.074999
48369,20.71467862,2542.074999
48809,0.70351233,2542.074999
53176,0.533551851,2542.074999
54346,0.464511707,2542.074999
56541,26.56711192,2542.074999
57048,9.008146931,2542.074999
57983,24.72960964,2542.074999
63847,2.107594463,2542.074999
64714,0.397164119,2542.074999
70163,1.736818779,2542.074999
73197,0.642819515,2542.074999
74407,0.964670637,2542.074999
74888,0.780532422,2542.074999
75804,7.895214568,2542.074999
77305,1.002546044,2542.074999
79107,0.331649117,2542.074999
79669,5.001391741,2542.074999
80736,3.190075407,2542.074999
83114,14.64131823,2542.074999
83463,92.07157038,2542.074999
85184,0.718042246,2542.074999
85437,0.626708046,2542.074999
86288,0.459948578,2542.074999
86621,1.522109109,2542.074999
88572,0.576919811,2542.074999
93044,43.97017415,2542.074999
95860,15.33924571,2542.074999
96226,51.55818534,2542.074999
99003,2.326555127,2542.074999
101031,1.157780692,2542.074999
101655,0.843758981,2542.074999
106423,2.346078122,2542.074999
109600,0.501917663,2542.074999
117877,4.190350235,2542.074999
1010,5.277510987,2546.348505
3118,1.57449029,2546.348505
6044,1.246710309,2546.348505
9662,4.478627616,2546.348505
10798,0.325054209,2546.348505
11068,1.346360381,2546.348505
11396,7.030728962,2546.348505
12955,1.967198756,2546.348505
18664,1.479023138,2546.348505
20298,1.102932619,2546.348505
20758,19.08920453,2546.348505
21286,0.525562376,2546.348505
21768,16.42807174,2546.348505
23018,0.527843801,2546.348505
24259,8.103118326,2546.348505
31431,1.551654342,2546.348505
32337,66.64378262,2546.348505
35469,80.23585836,2546.348505
36832,0.534172149,2546.348505
37333,0.3017776,2546.348505
44715,4.973327202,2546.348505
46007,0.676928631,2546.348505
46923,0.652715644,2546.348505
47489,0.544646507,2546.348505
47573,9.058688947,2546.348505
48075,1.415799664,2546.348505
51258,1.23061972,2546.348505
51877,0.835830407,2546.348505
52555,0.379898771,2546.348505
53306,0.46467852,2546.348505
55983,85.67214471,2546.348505
56642,3.805439308,2546.348505
56855,0.24295356,2546.348505
57823,8.67275596,2546.348505
58029,0.588680386,2546.348505
59242,4.434328176,2546.348505
60277,2.705653438,2546.348505
60505,1.261533858,2546.348505
61577,2.590244748,2546.348505
62787,0.585224852,2546.348505
63532,0.417972695,2546.348505
64767,3.217889907,2546.348505
65808,0.943500539,2546.348505
66329,6.144135677,2546.348505
67371,4.174693177,2546.348505
67828,1.7635611,2546.348505
68328,1.235343967,2546.348505
68726,26.5141421,2546.348505
71218,0.614181334,2546.348505
71358,1.152732648,2546.348505
73577,0.623143665,2546.348505
73854,0.829551927,2546.348505
75776,1.665783609,2546.348505
76435,0.472505977,2546.348505
78031,4.916024445,2546.348505
78519,0.809526326,2546.348505
80262,0.459789361,2546.348505
80847,25.20274469,2546.348505
81196,9.05550293,2546.348505
81470,0.846133852,2546.348505
81553,6.007140475,2546.348505
82341,1.574990586,2546.348505
82713,0.455106769,2546.348505
84077,4.203379247,2546.348505
84934,49.21060554,2546.348505
85921,1.544067072,2546.348505
86127,7.289536194,2546.348505
86685,0.042792242,2546.348505
87967,8.687504138,2546.348505
88742,10.94278339,2546.348505
89769,830.7199629,2546.348505
89844,1.647430463,2546.348505
90589,0.419089738,2546.348505
93503,5.726571857,2546.348505
94668,0.753612184,2546.348505
95703,5.834284574,2546.348505
100925,0.595005324,2546.348505
102556,1.138856557,2546.348505
108635,8.481753536,2546.348505
110385,0.638281512,2546.348505
112327,1.006206295,2546.348505
112331,0.709424205,2546.348505
113323,1.868561419,2546.348505
113695,1.360715595,2546.348505
117152,6.355167411,2546.348505
118312,13.95552228,2546.348505
2944,1.883920774,2550.630359
6020,1.80695914,2550.630359
7653,1.126290247,2550.630359
18140,1.541729897,2550.630359
18958,1.342218527,2550.630359
31228,0.467903497,2550.630359
35032,12.70887378,2550.630359
40316,78.73485151,2550.630359
48725,2.087587039,2550.630359
51059,46.59477953,2550.630359
55111,12.9283428,2550.630359
55633,0.547584408,2550.630359
56337,0.392080718,2550.630359
56997,0.481370324,2550.630359
63502,1.983557445,2550.630359
66188,1.558158961,2550.630359
66547,0.415425609,2550.630359
69554,0.798344994,2550.630359
69881,1.895286545,2550.630359
70292,0.615186899,2550.630359
73952,2.12871833,2550.630359
75446,0.355219175,2550.630359
76597,23.63601237,2550.630359
76890,1.222653112,2550.630359
77496,0.476106586,2550.630359
79518,66.67043143,2550.630359
80003,0.254835356,2550.630359
80358,0.488030652,2550.630359
83716,1.110704208,2550.630359
89759,0.778605511,2550.630359
93519,0.978853312,2550.630359
99971,0.423154654,2550.630359
102638,1.643145714,2550.630359
103484,0.621044984,2550.630359
105712,0.465607312,2550.630359
108619,4.316227333,2550.630359
111974,4.054245746,2550.630359
116377,0.562330154,2550.630359
118156,0.879602518,2550.630359
3769,3.179417275,2554.920581
4194,0.389178175,2554.920581
8493,0.67880822,2554.920581
9629,0.452403266,2554.920581
11490,31.799405,2554.920581
14563,6.062474381,2554.920581
15909,2.174284432,2554.920581
16220,21.0615228,2554.920581
20606,1.73977301,2554.920581
21010,2.538604038,2554.920581
26400,0.342784826,2554.920581
27225,0.432317569,2554.920581
27552,13.0897742,2554.920581
28122,0.601419863,2554.920581
34747,1.415101556,2554.920581
35332,1.161509959,2554.920581
36622,0.492340204,2554.920581
36710,0.235186321,2554.920581
38852,21.71830035,2554.920581
47263,1.968517862,2554.920581
50060,3.166117261,2554.920581
52934,0.586066216,2554.920581
55862,1.993159894,2554.920581
55900,0.982698427,2554.920581
56119,0.518093619,2554.920581
57639,77.95377425,2554.920581
58497,1.487580979,2554.920581
63278,0.282236885,2554.920581
69770,0.362191528,2554.920581
69885,0.293034622,2554.920581
72828,11.69224267,2554.920581
74259,0.814868123,2554.920581
75858,2121.015837,2554.920581
77030,1.220357375,2554.920581
79619,0.805056896,2554.920581
80762,8.30199145,2554.920581
82642,5.35863324,2554.920581
